FirstName,Phone,Notes
Arun,9876543210,Called on Monday – requested demo next week
Divya,9123456789,Interested in premium plan – follow up in 3 days
Kiran,9988776655,Asked for pricing details – waiting for reply
Meena,9871234560,Positive response – wants trial account
Ravi,9765432109,Left voicemail – try calling again tomorrow
Sahana,9345678123,Currently using competitor – open to switch
Vikram,9456123780,Requested case study – emailed documents
Priya,9345612789,Hot lead – prefers yearly subscription
Arshath,9012345678,Demo scheduled on Friday at 11 AM
Lakshmi,9234567810,Requested discount – negotiating
Harish,9123567890,Not decision maker – needs manager approval
Kavya,9876098765,Attended webinar – asked about integration
Naveen,9654321098,Cold lead – revisit in 2 months
Pooja,9786543210,Very interested – asked for proposal
Rahul,9345098761,Follow up call scheduled for next Tuesday
Sneha,9567890123,Trial account created – monitor usage
Manoj,9456789012,Requested invoice – sent yesterday
Deepa,9234789012,Good prospect – asked about support team
Anil,9654789012,Referred by existing customer – strong lead
Shreya,9876543201,Needs product demo – scheduled on Zoom
